
10,125
20,125
30,124
40,123
50,123
60,123
70,122
80,122
90,121
100,122
110,121
120,121
130,121
140,121
150,120
160,120
171,119
181,119
191,119
201,119
211,119
221,118
231,118
241,117
251,117
261,116
271,115
281,115
291,119
301,114
311,113
321,113
331,113
342,111
352,111
362,111
372,109
382,109
392,109
402,108
412,107
422,107
432,106
442,105
452,105
462,104
472,103
482,102
492,101
502,101
512,101
522,100
532,99
542,99
552,98
562,98
572,97
582,97
592,96
602,96
612,95
622,94
632,94
642,93
652,92
662,91
672,91
683,90
693,91
703,89
713,88
723,88
733,87
743,86
753,85
763,85
773,85
783,84
793,83
803,83
813,83
823,83
833,82
843,82
854,81
864,81
874,81
884,80
894,80
904,80
914,79
924,79
934,79
944,71
954,78
964,78
974,78
984,77
994,77
1004,77
1014,76
1024,76
1034,76
1044,76
1054,75
1064,73
1074,75
1084,74
1094,74
1104,73
1114,73
1124,73
1134,72
1144,72
1154,71
1164,70
1174,70
1184,70
1195,67
1205,68
1215,68
1225,67
1235,67
1245,68
1255,66
1265,66
1275,65
1285,65
1295,64
1305,67
1315,63
1325,64
1335,63
1345,63
1355,63
1366,63
1376,62
1386,63
1396,63
1406,63
1416,62
1426,62
1436,62
1446,62
1456,62
1466,62
1476,62
1486,62
1496,62
1506,63
1516,63
1526,63
1536,63
1546,63
1556,63
1566,64
1576,64
1586,64
1596,64
1606,64
1616,64
1626,65
1636,65
1646,66
1656,66
1666,66
1676,67
1686,68
1696,68
1707,68
1717,69
1727,70
1737,70
1747,70
1757,70
1767,71
1777,71
1787,72
1797,72
1807,75
1817,76
1827,77
1837,77
1847,78
1857,78
1867,79
1878,81
1888,82
1898,84
1908,86
1918,88
1928,89
1938,90
1948,91
1958,92
1968,92
1978,94
1988,95
1998,97
2008,100
2018,102
2028,105
2038,106
2048,108
2058,110
2068,112
2078,114
2088,116
2098,118
2108,120
2118,122
2128,124
2138,123
2148,125
2158,126
2168,127
2178,128
2188,129
2198,131
2208,132
2219,132
2229,133
2239,134
2249,134
2259,134
2269,135
2279,135
2289,134
2299,136
2309,136
2319,137
2329,137
2339,138
2349,137
2359,138
2369,138
2379,138
2390,139
2400,139
2410,139
2420,139
2430,140
2440,140
2450,140
2460,141
2470,141
2480,141
2490,141
2500,141
2510,142
2520,142
2530,143
2540,143
2550,143
2560,144
2570,144
2580,144
2590,145
2600,145
2610,146
2620,146
2630,147
2640,147
2650,148
2660,148
2670,149
2680,149
2690,149
2700,150
2710,150
2720,151
2731,151
2741,151
2751,151
2761,147
2771,152
2781,152
2791,152
2801,153
2811,153
2821,153
2831,153
2841,153
2851,154
2861,154
2871,154
2881,155
2891,155
2902,155
2912,156
2922,156
2932,156
2942,157
2952,157
2962,157
2972,157
2982,158
2992,158
3002,158
3012,158
3022,158
3032,158
3042,158
3052,159
3062,159
3072,159
3082,159
3092,159
3102,159
3112,160
3122,159
3132,160
3142,161
3152,161
3162,160
3172,161
3182,161
3192,161
3202,161
3212,162
3222,162
3232,162
3243,162
3253,162
3263,163
3273,162
3283,164
3293,163
3303,164
3313,164
3323,164
3333,165
3343,165
3353,165
3363,165
3373,165
3383,166
3393,166
3403,167
3414,166
3424,167
3434,167
3444,167
3454,168
3464,168
3474,168
3484,168
3494,168
3504,168
3514,168
3524,168
3534,168
3544,168
3554,168
3564,168
3574,168
3584,168
3594,168
3604,168
3614,167
3624,168
3634,168
3644,168
3654,168
3664,168
3674,167
3684,167
3694,166
3704,164
3714,162
3724,158
3734,153
3744,149
3755,145
3765,142
3775,139
3785,136
3795,134
3805,131
3815,129
3825,127
3835,125
3845,124
3855,122
3865,121
3875,120
3885,119
3895,118
3905,116
3916,114
3927,112
3937,110
3947,108
3957,106
3968,105
3979,103
3989,102
3999,99
4009,98
4019,97
4029,95
4039,94
4049,92
4059,91
4069,89
4079,88
4089,87
4099,86
4109,85
4119,84
4129,83
4139,82
4149,81
4159,80
4169,78
4179,78
4189,77
4199,75
4209,75
4219,74
4229,74
4239,73
4249,73
4259,72
4269,72
4279,72
4289,71
4299,71
4310,71
4320,70
